amount,i_amount,result
300000,40000,false
80000,12304,false
1000000,76920,false
4000000,195096,false
2500000,21196,false
300000,10000,false
5000000,416664,false
300000,40000,false
150000,2493,false
200000,24986,false
1500000,125000,false
1500000,176468,false
800000,9873,false
300000,27904,false
6000000,50083,false
365148,30429,false
3000000,121212,false
15000000,139860,false
200000,30768,false
150000,6312,false
100000,23528,false
300000,150000,false
1500000,57692,false
800000,15384,false
2500000,96152,false
100000,12120,false
3000000,83333,false
600000,15632,false
1000000,30768,false
250000,38460,false
500000,153844,false
30000,26700,false
400000,5128,false
50000,6664,false
10000,11,false
25000,8333,false
350000,13461,false
150000,24831,false
60000,15000,false
10000,1536,false
120000,16000,false
400000,61536,false
180000,30000,false
1000000,93020,false
200000,20512,false
1200000,200000,false
60000,18460,false
900000,75000,false
50000,9332,false
100000,100000,false
3000000,461536,false
1000000,152764,false
500000,38460,false
1800000,94736,false
40000,5028,false
40000,5028,false
40000,1331,false
500000,46508,false
400000,50000,false
100000,24780,true
5000000,769228,false
1500000,28290,false
800000,13620,false
170000,21250,false
600000,9999,false
2000000,35714,false
2000000,38461,false
2000000,153844,false
2000000,153844,false
2000000,35714,false
2500000,128204,false
3600000,40000,false
600000,40000,false
3000000,40132,false
50000,33332,false
200000,30768,false
130000,2000,false
1000000,8000,false
2067000,275600,false
200000,13580,false
1000000,133332,false
2500000,178568,false
100000,7692,false
50000,7692,false
20000,3076,false
20000,5000,false
250000,3221,false
1500000,200000,false
1500000,115384,false
1500000,26785,false
300000,70588,false
500000,33332,false
180000,27692,false
500000,117644,false
108000,6000,false
20000,5000,false
10000,1536,false
1000000,66664,false
10000,5000,true
5000,384,false
1000000,153844,false
1000000,166664,false
500000,20200,false
5000000,243900,false
700000,50000,false
5000,5000,false
3600000,75000,false
3999492,333291,false
1000000,93020,false
500000,66664,false
500000,12820,false
500000,12820,false
8000000,200000,false
500000,12820,false
300000,46152,false
50000,7692,false
300000,15000,false
33600,33600,false
310000,2798,false
2000000,235292,false
50000,11764,false
400000,41024,false
0,0,false
1500000,60604,false
200000,200000,false
250000,38460,false
700000,82352,false
70000,4117,false
200000,30768,false
72000,8000,true
1000000,20100,false
1000000,93020,false
30000,4000,false
100000,2764,false
1000000,102564,false
1000000,102564,false
1000000,102564,false
0,0,false
1000000,102564,false
1000000,10045,false
40000,9408,false
350000,53844,false
40000,40000,false
900000,4996,false
2240000,263528,false
1000000,40404,false
1200000,46153,false
200000,7692,false
700000,13461,false
700000,13461,false
600000,10000,false
5555,3700,false
100000,2941,false
100001,8795,false
100000,11764,false
800000,123076,false
800000,123076,false
800000,82048,false
500000,5050,false
100000,15384,false
1000000,76920,false
500000,76920,false
2000000,153844,false
480000,480000,false
800000,9756,false
800000,9756,false
800000,9756,false
0,0,false
800000,9756,false
100000,3333,false
300000,46152,false
0,0,false
0,0,false
150000,20000,false
350000,175000,false
1000000,166666,false
500000,13888,false
1000000,12195,false
450000,21948,false
45000,22500,false
300000,70588,false
200000,18604,false
800000,106664,false
1200000,100000,false
200000,22222,false
500000,9615,false
200000,30768,false
300000,92304,false
400000,61536,false
1200000,160000,false
6000000,923076,false
10000,384,false
100000,1923,false
100000,1538,false
0,0,false
100000,1923,false
500000,58820,false
500000,62500,false
100000,1538,false
0,0,false
0,0,false
500000,111108,false
1000000,11904,false
150000,8692,false
300000,25528,false
6890000,66250,false
200000,2880,false
50000,7692,false
1000000,55555,false
100000,15384,false
85000,42500,false
190000,25332,false
500000,76920,false
400000,30768,false
400000,26666,true
60000,7056,false
300000,39840,false
1000000,235292,false
1500000,65864,false
150000,75000,false
500000,16666,false
500000,16666,false
0,0,false
0,0,false
0,0,false
2000000,166666,false
700000,93332,false
500000,76920,false
3000000,99040,false
160000,80000,false
1000000,12195,false
450000,200000,false
100000000,15384612,false
20000,3749,true
50000,4545,false
1500000,200000,false
500000,20000,false
300000,15000,false
500000,10638,false
500000,10638,false
150000,13952,false
100000000,354609,false
200000,5128,false
200000,18604,false
100000,4888,false
500000,76920,false
2000000,12775,false
50000,6664,false
7000000,190476,false
1000000,21276,false
1000000,21276,false
500000,38460,false
1000000,33333,false
1000000,33333,false
100000,7692,false
5000000,192164,false
200000,10256,false
70000,70000,false
300000,10000,false
300000,10000,false
1000000,1000000,false
600000,92304,false
1000000,85104,false
150000,50000,false
3000000,32964,false
150000,4080,false
400000,266664,false
100000,4000,false
200000,12304,false
100000,15384,false
10000,1536,false
1000000,40404,false
1000000,133332,false
30000,5000,false
60000,2857,false
100000,15384,false
200000,100000,false
200000,20000,false
150000,23076,false
500000,2476,false
100000,4040,false
1500000,125000,false
10000,500,false
400000,53332,false
900000,45000,false
230000,43808,false
60000,8571,false
500000,20200,false
50000,1920,false
300000,40000,false
1000000,51280,false
100000,15384,false
5550000,36572,false
300000,20000,false
200000,12304,false
2000000,40000,false
100000,13332,false
650000,19230,false
500000,4807,false
500000,5050,false
500000,4000,false
10001,1332,false
50000,24748,false
500000,16666,false
500000,16666,false
350000,13461,false
900000,50000,false
200000,33333,false
500000,24388,false
100000,15384,false
100000,23528,false
100000,2911,false
130000,2500,false
6000,1000,false
200000,6123,false
500000,26315,false
1500000,10136,false
100000,5796,false
500000,250000,false
100000,20000,false
300000,20000,false
5000000,76772,false
300000,50000,false
200000,26664,false
4000000,29794,false
800000,123076,false
15000000,6250,false
1000000,33330,false
50000,6664,false
1000000,29411,false
1000000,50000,false
200000,30768,false
3000000,88235,false
3000000,88235,false
1000000,61536,false
300000,5081,false
650000,21666,false
10000,5000,false
360000,110768,false
1000000,51280,false
150000,15384,false
1000000,48780,false
500000,6024,false
2000000,307692,false
500000,66664,false
1000000,153844,false
700000,53844,false
1200000,65752,false
1000000,93020,false
3000000,7128,false
130000,17332,false
100000,100000,false
1000000,93020,false
80000,12304,false
200000,66664,false
1000000,153844,false
900000,50000,false
1000000,5025,false
1000000,153844,false
3000000,146340,false
500000,18835,false
400000,20512,false
50000,8333,false
600000,80000,false
600000,80000,false
150000,3000,false
300000,70540,false
300000,40000,false
700000,10492,false
40000,6666,false
1000000,32000,false
5000000,138888,false
140000,10476,false
200000,17020,false
140000,13020,false
1000000,3039,false
1000000,29408,false
300000,20000,false
200000,7692,false
2000000,97560,false
1500000,28300,false
600000,50000,false
300000,200000,false
120080,5718,false
1000000,57968,false
1500000,14423,false
1000000,38460,false
130000,4333,false
1000000,48780,false
1500000,200000,false
300000,15384,false
800000,246152,false
300000,40000,false
300000,5769,false
250000,33332,false
4000000,615384,false
150000,17644,false
200000,8788,false
100000,999,false
260000,40000,false
12000,990,false
2000000,142856,false
200000,8080,false
300000,40000,false
75000,25000,false
500000,1519,false
500000,1519,false
300000,30768,false
55000,12940,false
0,0,false
500000,33332,false
10000000,769228,false
35000,8232,false
200000,30768,false
200000,10256,false
1000000,12500,false
500000,28984,false
10000,384,false
10000,384,false
15000000,1000000,false
2000000,16192,false
1800000,34615,false
400000,19512,false
500000,15994,false
1000000,153844,false
2500000,121888,false
400000,10871,false
1000000,38460,false
500000,21976,false
300000,27904,false
296392,74098,false
2000000,40200,false
300000,40000,false
50000,8333,false
3000000,400000,false
200000,12304,false
2000000,40200,false
100000,4040,false
500000,105260,false
500000,105260,false
258641,19895,false
2500000,178568,false
1000000,85104,false
600000,11056,false
1000000,46508,false
500000,24996,false
1000000,76920,false
102400,124,false
160000,20000,false
6500000,80000,false
2500000,416666,false
2500000,96152,false
600000,69450,false
2000000,83140,false
150000,20000,false
50000,7692,false
300000,59980,false
400000,13333,false
400000,13333,false
0,0,false
100000,15384,false
60000,7712,false
800000,17021,false
300000,40000,false
500000,10000,false
500000,10638,false
500000,38460,false
100000,7692,false
102400,7876,false
300000,171428,false
10000,1428,false
100000,14285,false
20000,2857,false
1000000,76920,false
200000,25980,false
1000000,20100,false
1500000,200000,false
1200000,41024,false
300000,32605,false
350000,87500,false
50000,2941,false
200000,47056,false
80000,16000,false
20000,2664,false
2800000,12903,false
250000,4464,false
5000000,119047,false
100000,13332,false
200000,61536,false
200000,15384,false
1000000,38461,false
1000000,38461,false
500000,76920,false
100000,3575,false
100000,11764,false
450000,38296,false
330000,11000,false
10000000,170940,false
1000000,15873,false
100000,200000,false
300000,5084,false
100000,25000,false
5,0,false
300000,40000,false
50000,9520,false
500000,12192,false
9600,1200,true
300000,32432,false
100000000,100000000,false
70000,5268,false
70000,5268,false
300000,25000,false
300000,50000,false
1000000,20100,false
35000000,40020,false
1500000,48000,false
500000,16426,false
66600,6572,false
600000,53524,false
2500000,121948,false
2000000,97560,false
3000000,17287,false
150000,23076,false
120000,22856,false
5000,584,false
500000,50000,false
400000,53332,false
500000,76920,false
20000,10000,false
510000,15000,false
3500000,36042,false
100000,15196,false
500000,46508,false
500000,30768,false
300000,4012,false
500000,10000,false
125234,8944,false
125234,782,false
2000000,15028,false
1000000,61536,false
1000000,133332,false
1500000,1000000,false
2000000,235292,false
500000,76920,false
11000000,564100,false
190000,108568,false
500000,40000,false
5000,416,false
15000000,1395348,false
1500000,375000,false
1200000,342856,false
20000,3076,false
500000,1001,false
1000000,266664,false
6280000,837332,false
100000,8333,false
100000,13332,false
1500000,4746,false
30000,332,false
1000000,133332,false
75000,11536,false
1500000,18716,false
2000000,234116,false
90000,4388,false
1000000,8264,false
700000,43432,false
200000,7673,false
698000,99714,false
500000,27664,false
20000,769,false
10000000,256408,false
15000000,56444,false
500000,236566,false
5000,664,false
100000,66664,false
2500000,192304,false
20000,20000,false
20000000,50000,false
2250000,75000,false
50000,50000,false
400000,15204,false
500000,40000,false
90000,3956,false
6000000,12145,false
1000000,6250,false
10000,3076,false
1000000,4800,false
8100000,9060,false
360000,240000,false
100000,3844,false
4000000,80400,false
200000,25000,false
600000,120000,false
80000,20000,false
300000,23671,false
1500000,34680,false
10000,10000,false
600000,70588,false
300000,300000,false
1000000,40000,false
245000,11666,false
400000,47056,false
100000,13332,false
400000,200000,false
200000,20000,false
300000,6250,false
3500000,1750000,false
225000,4925,false
550000,314284,false
600000,184612,false
500000,400000,false
561000,56100,false
80000,53332,false
4000000,153826,false
50000,1469,false
70000,70000,false
70000,70000,false
70000,70000,false
100000,15384,false
2000000,24920,false
200000,26425,false
100000,10000,false
300000,21331,false
380000,4028,false
2400000,50000,false
150000,23076,false
500000,76920,false
5000000,384612,false
36500,2432,false
500000,9615,false
500000,9615,false
500000,76920,false
1000000,9615,false
1000000,9615,false
100000,100000,false
850000,63838,false
500000,9615,false
75000,11536,false
180000,27692,false
100000,50000,false
70000,7176,false
100000,20000,false
100000,4040,false
500000,58820,false
1000000,102564,false
350000,8284,false
200000,18477,false
250000,19228,false
400000,13333,false
3500000,162788,false
2000000,5555,false
300000,41428,false
4000000,60604,false
10000000,100000,false
600000,160000,false
1500000,82188,false
1200000,141176,false
700000,93332,false
100000,49996,false
700000,23333,false
500000,80000,false
1200000,50000,false
1200000,1200000,false
1200000,1200000,false
500000,76920,false
2200000,169228,false
700000,23333,false
500000,76920,false
180000,27692,false
1000000,24839,false
150000,23076,false
300000,2884,false
300000,3030,false
8000000,12500,false
10000000,197044,false
3000000,39600,false
300000,5000,false
500000,23809,false
400000,53332,false
5000000,149252,false
300000,40000,false
800000,400000,false
2000000,20012,false
2500000,24038,false
2500000,24038,false
10000,10000,false
100000,15384,false
10000,2352,true
1000000,71428,false
300000,45844,false
1000000,10101,false
5000,768,false
30000,5000,false
150000,2500,false
200000,26664,false
150000,2953,false
200000,14284,false
200000,100000,false
200000,100000,false
100000,16666,false
2000000,10048,false
100000,12500,false
800000,114285,false
100000,50000,false
100000,57140,false
80000,2000,false
5000000,1666664,false
2000000,800000,false
900000,34615,false
220000,20000,false
200000,30768,false
10000000,215052,false
200000,17020,false
1000000,51280,false
50000,3846,false
940000,47000,false
2000000,40200,false
350000,53844,false
100000,19044,false
600000,50000,false
500000,5988,false
40000,6152,false
80000,12304,false
600000,44489,false
3500000,80962,false
200000,8080,false
250000,6408,false
150000,60000,false
200000,30768,false
300000,13952,false
200000,30768,false
100000,961,false
153000,76500,false
200000,114284,false
50000,9520,false
750000,75000,false
250000,166664,false
500000,16666,false
500000,16666,false
3000000,100000,false
3000000,100000,false
0,0,false
0,0,false
100000,15384,false
9000000,138460,false
250000,47616,false
30000,3000,false
4000000,17072,false
2000000,66666,false
500000,40804,false
200000,26664,false
2000000,10050,false
2000000,10050,false
2000000,40200,false
5000000,192304,false
2000000,66496,false
1200000,92304,false
50000,5000,false
300000,40000,false
50000,4648,false
500000,19228,false
1300000,43333,false
600000,19230,false
100000,19044,false
10000,5000,false
100000,9300,false
60000000,142857,false
3000000,2206,false
30000000,20040,false
3000000,25000,false
3000000,13333,false
2000000,38460,false
100000,10256,false
180000,15000,false
100000,11764,false
2000000,61536,false
1000000,190476,false
1000000,190476,false
0,0,false
80000,6153,false
300000,25000,false
1500000,107140,false
1500000,107140,false
2000000,35714,false
0,0,false
1500000,107140,false
10000000,219780,false
500000,12192,false
1500000,38828,false
60000,9228,false
3500000,87500,false
240000,2000,false
250000,7954,false
200000,30768,false
150000,17644,false
200000,26844,false
500000,76920,false
1600000,123076,false
700000,93332,false
1900000,10012,false
1400000,143588,false
100000,15384,false
600000,29742,false
53000,4928,false
100000,15384,false
100000000,512160,false
1500000,100000,false
1000000,16192,false
400000,80000,false
5000000,666664,false
6000,1000,false
1500000,739724,false
2000000,92064,false
1000000,38460,false
22223,6836,false
390000,60000,false
150000,8823,false
200000,15384,false
50000,7692,false
300000,20000,false
300000,40000,false
7000000,291666,false
200000,72724,false
500000,133332,false
100000,10671,false
70000,10768,false
400000,26336,false
400000,19047,false
170000,26152,false
300000,40000,false
300000,20000,false
500000,66664,false
500000,17739,false
400000,33074,false
100000,15384,false
2500000,20000,false
1300000,100000,false
1500000,40816,false
2500000,69444,false
800000,9302,false
1000000,38460,false
220844,55211,false
400000,94116,false
2500000,60972,false
250000,33332,false
200000,28571,false
200000,50000,false
500000,5050,false
500000,12192,false
500000,3048,false
100000,11998,false
2500000,384612,false
1000000,93020,false
100000,11760,false
900000,30000,false
1200000,92304,false
5000,768,false
800000,15384,false
1000000,51280,false
250000,38460,false
2000000,40192,false
400000,74284,false
150000,6250,false
1000000,160000,false
3000000,41095,false
220000,20000,false
100000,11704,false
400000,65577,false
60000,2857,false
1000000,66652,false
300000,92304,false
1000000,18571,false
100000,15384,false
360000,4816,false
2000000,11676,false
50000,7692,false
150000,21428,false
1000000,76920,false
1500000,43838,false
500000,76920,false
40000,3076,false
1000000,38460,false
1000000,85104,false
1000000,85104,false
400000,41024,false
1850000,50000,false
12000,4000,false
1050000,4506,false
1000000,48780,false
7000000,358972,false
600000,92304,false
200000,30768,false
1500000,115384,false
350000,82352,false
500000,16000,false
400000,30769,false
500000,3787,false
300000,85712,false
900000,4999,false
200000,114284,false
3000000,5016,false
2000000,64516,false
60000,20000,false
2000000,28368,false
19000000,73076,false
800000,106664,false
100000,19044,false
200000,25000,false
5000000,384612,false
250000,200000,false
500000,46508,false
8000000,181818,false
30000,3750,false
1000000,5917,false
300000,25000,false
1000000,153844,false
500000,13984,false
1500000,38744,false
700000,40576,false
900000,37500,false
200000,3846,false
95000000,14615384,false
200000,2083,true
300000,35292,false
200000,3846,false
300000,39932,false
300000,57140,false
1000000,76920,false
500000,200000,false
3500000,40344,false
2000000,21830,false
500000,19230,false
50000,7142,false
1500000,230768,false
90000,3212,false
30000,2000,false
450000,69228,false
0,0,false
0,0,false
3000000,39600,false
480000,22857,false
2000000,61536,false
50000,6664,false
757900,25000,false
100000,100000,false
100000,100000,false
100000,7692,false
2000000,80808,false
1000000,8384,false
600000,20512,false
500000,38460,false
300000,46152,false
900000,75000,false
300000,40000,false
1000000,160000,false
2500000,833332,false
150000,11538,false
500000,76920,false
1000000,117644,false
160000,6153,false
160000,6153,false
300000,92304,false
4000000,161616,false
1000000,39836,false
1700000,56644,false
400000,28568,false
12000,1865,false
500000,23809,false
3600000,15000,false
1000000,9612,false
215000,1990,false
300000,9983,false
100000,30612,false
300000,100000,false
8000000,157632,false
50000,1767,false
156000,24000,false
300000,37437,false
750000,28844,false
40000,10000,false
215000,1000,false
100000,15384,false
360000,30000,false
20000000,61440,false
400000,133332,false
300000,50000,false
20000,1000,false
50000,7692,false
400000,61536,false
100000,15384,false
8000000,157632,false
2500000,20040,false
10000000,60240,false
500000,76920,false
500000,76920,false
700000,4877,false
500000,52692,false
500000,52692,false
100000,23528,false
10000000,80160,false
3000000,20000,false
200000,10228,false
250000,33332,false
250000,33332,false
35000,7222,false
800000,25600,false
1400000,466664,false
100000,4040,false
5000000,425528,false
3000000,164380,false
200000,46812,false
3000000,400000,false
50000000,8333332,false
49000000,6533332,false
1200000,102124,false
700000,107692,false
500000,76920,false
4000000,49747,false
400000,61536,false
1320000,176000,false
700000,233332,false
300000,40000,false
300000,80000,false
120000,18460,false
546545,546544,false
20000,1664,false
100000,9435,false
100000,9435,false
0,0,false
300000,120000,false
600000,55812,false
2000000,30769,false
2000000,30769,false
1000000,40404,false
144400,4591,false
1000000,200000,false
300000,5000,false
100000,15384,false
50000,7692,false
600000,342856,false
500000,38461,false
200000,30768,false
500000,9615,false
900000,211764,false
600000,21428,false
160000,20000,false
1500000,75011,false
10000000,119760,false
50000,8333,false
60000,8571,false
500000,16593,false
500000,16593,false
0,0,false
7000088,2333360,false
1000000,40404,false
300000,40000,false
1000000,1000000,false
200000,48898,false
150000,23076,false
500000,21052,false
500000,27396,false
500000,20000,false
2000000,76920,false
1000000,27777,false
5000000,144924,false
3000000,352940,false
200000,30768,false
169600,33920,false
3500000,325580,false
1978740,32979,false
0,0,false
50000,5880,false
1000000,71428,false
111111,17092,false
2000000,55555,false
6000000,400000,false
850000,32634,false
90000,17140,false
200000,16525,false
15000000,800000,false
700000,12172,false
200000,7692,false
100000,15384,false
520000,40000,false
600000,50000,false
50000,6664,false
3100000,59612,false
300000,25000,false
5000000,400000,false
400000,23188,false
150000,17644,false
900000,105880,false
5000000,156250,false
2160000,10000,false
100000000,1923076,false
250000,23252,false
400000,1600000,false
4600000,59740,false
350000,53844,false
68900,21200,false
2000000,115940,false
50800,2419,false
2000000,115940,false
500000,14705,false
500000,42552,false
140000,32940,false
90000,4184,false
50000,7692,false
100000,14285,false
500000,28984,false
250000,20012,true
25000,4000,false
500000,58820,false
500000,61923,false
600000,114284,false
140000,43076,false
800000,20512,false
36000,3000,false
1000000,363636,false
250000,38460,false
1300000,12232,false
50000,4900,false
130000,43333,false
20000,808,false
2000000,170212,false
50000,25000,false
500000,38380,false
100000,14285,false
200000,9485,false
600000,46152,false
500000,76920,false
10000,404,false
8000000,160000,false
5700000,8008,false
5000000,202020,false
100000,3333,false
1000000,20000,false
10000,928,false
200000,5000,false
1000000,333332,false
550000,314284,false
5000000,666664,false
300000,40000,false
100000,3333,false
100000,3333,false
1000000,5000,false
500000,52692,false
0,0,false
1000000,76920,false
500000,66664,false
150000,5769,false
1000000,5076,false
169600,8015,false
100000,13252,false
500000,66664,false
100000,5128,false
100000,57140,false
70000,10000,false
2000000,40000,false
250000,2906,false
2000000,80000,false
150000,46152,false
100000,7692,false
10000,1108,false
10000,277,false
500000,66664,false
50000,25000,false
200000,6666,false
1000000,85104,false
600000,40000,false
600000,32876,false
100000,16666,false
100000,20000,false
2000000,7352,false
6000000,400000,false
1500000,26785,false
7500000,119476,false
200000,7615,false
300000,46152,false
16500,8248,false
1500000,115384,false
42500,5312,false
1550000,44924,false
2000000,10989,false
150000,150000,false
1500000,44117,false
600000,74748,false
200000,14284,false
1000000,166664,false
250000,27777,false
100000,3846,false
100000,4761,false
3500000,40344,false
100000,14071,false
500000,66664,false
10000000,400000,false
6000000,105087,false
10000000,158571,false
500000,38436,false
500000,71428,false
200000,66664,false
150000,35292,false
70000,10768,false
12000000,2086956,false
100000,16666,false
100000,15384,false
1500000,50000,false
1000000,102564,false
150000,12764,false
800000,20000,false
1000000,9615,false
1000000,9615,false
1200000,92304,false
1000000,190476,false
300000,46152,false
300000,92304,false
160000,80000,false
60000,8000,false
200000,20000,false
70000,16468,false
0,0,false
2550000,255000,false
700000,233332,false
1000000,76920,false
50000,5880,false
1000000,93020,false
1200000,266664,false
1200000,240000,false
144400,19632,false
1200000,160000,false
1250000,118740,false
100000,19044,false
5000000,202020,false
200000,38092,false
40000,11998,false
100000,11764,false
1000000,33333,false
30000,4000,false
150000,23076,false
300000,133332,false
14000,2152,false
500000,20200,false
10000000,88688,false
500000,500000,false
200000,3076,false
200000,2564,false
0,0,false
500000,80000,false
1500000,162160,false
500000,12192,false
1300000,57915,false
5000000,769228,false
5000000,769228,false
5000000,192307,false
1000000,9598,false
63000,9144,false
1000000,9611,false
10000,10000,false
100000,1968,false
5000,1614,false
2000000,30728,false
200000,23528,false
100000,23528,false
750000,39473,false
1500000,600000,false
15000,3750,false
100000,15384,false
700000,53844,false
250000,31250,false
1000000,40691,false
500000,9615,false
500000,9615,false
700000,107692,false
35000,10152,false
10000,1536,false
100000,15384,false
500000,14705,false
1000000,38460,false
100000,19044,false
50000,200000,false
50000,200000,false
50000,50000,false
0,0,false
50000,200000,false
50000,16664,false
200000,80000,false
250000,25000,false
90000,5000,false
230000,2804,false
100000,14285,false
1000000,5000,false
400000,6153,false
300000,4615,false
100000,15384,false
80000,5600,false
120000,20000,false
10000,1250,false
500000,38460,false
100000,13332,false
100000,15384,false
100000,15384,false
600000,75000,false
5000,5000,false
100000,100000,false
300000,49983,false
250000,38460,false
10000,1666,false
5000000,384612,false
60000,10000,false
500000,51280,false
10000000,80160,false
1100000,146664,false
100000,7692,false
100000000,416666,false
500000,133332,false
440000,83808,false
600000,5000,false
100000,5000,false
100000,20000,false
350000,140000,false
12000,461,false
12000,461,false
1500000,12000,false
1500000,12000,false
280000,13990,false
1000000,571428,false
1000000,153844,false
1000000,235292,false
300000,200000,false
100000,502,false
10000000,121580,false
400000,57142,false
600000,110981,false
50000,4166,false
500000,66664,false
400000,15384,false
35000,10768,false
500000,19230,false
1000000,48780,false
700000,35000,false
698600,139720,false
12000,2000,false
1100000,73332,false
1500000,176468,false
100000,3846,false
0,0,false
600000,80000,false
600000,80000,false
0,0,false
1500000,38461,false
1500000,38461,false
40000,5332,false
1000000,133332,false
125000,125000,false
200000,9756,false
500000,76920,false
3000000,250000,false
3000000,19214,false
3000000,19214,false
1000000,153844,false
100000,10336,true
3000000,230768,false
30000,30000,false
500000,35714,false
200000,4651,false
5000000,96152,false
400000,11764,false
100000,9300,false
2000000,50000,false
300000,171428,false
300000,40000,false
100000,19044,false
200000,26664,false
3000000,5050,false
2000000,90909,false
256000,16000,false
1000000,210504,false
200000,30736,false
2000000,307692,false
100000,15384,false
26000,4000,false
50000,1256,false
100000,8157,false
1500000,38460,false
200000,38092,false
350010,53832,false
2000000,170212,false
100000,15384,false
1500000,115384,false
10000,5000,false
2340000,275292,false
59187,59184,false
5000,2500,false
150000,8216,false
400000,800000,false
40000,7616,false
35625000,800560,false
150000,37500,false
800000,30768,false
600000,23076,false
200000,26664,false
150000,19864,false
100000,23528,false
3500000,97222,false
200000,18604,false
1000000,66664,false
500000,38460,false
50000,4166,false
49000,1649,false
100000,8333,false
5000000,400000,false
260000,34664,false
1500000,76868,false
800000,96277,false
300000,6976,false
15000,4612,false
150000,12764,false
150000,20000,false
75000,5769,false
140000,5384,false
1000000,27208,false
120000,7023,false
300000,14285,false
100000,8000,false
1500000,76920,false
3000000,115384,false
500000,20200,false
31600,31600,false
500000,25640,false
700000,107692,false
30000,9228,false
300000,6028,false
600000,49700,false
2000000,2000000,false
5000000,27777,false
100000,2000,false
4000000,307692,false
140000,2555,false
14000000,466666,false
14000000,466666,false
260000,22124,false
260000,40000,false
1500000,57692,false
41600,41600,false
5000000,76920,false
1700000,141664,false
14500000,278844,false
100000,50000,false
200000,3553,false
200000,61536,false
2000000,35714,false
700000,53844,false
100000,15384,false
300000,5769,false
80000,24612,false
3500000,20056,false
500000,42552,false
100000,440,false
120000,18460,false
30000,3528,false
2500000,50000,false
100000,19880,false
500000,125000,false
2000000,40200,false
1000000,153844,false
500000,76920,false
250000,38460,false
539900,9641,false
107390,25268,false
80000,80000,false
1000000,100000,false
120000,16000,false
450000,30000,false
500000,95236,false
30000,120000,false
250000,38460,false
13000000,8666664,false
100000,100000,false
90000,13309,false
1000000,1000000,false
100000,36360,false
600000,32876,false
4000000,19948,false
80000,3076,false
400000,5067,false
800000,25152,false
200000,19720,false
1000000,24388,false
500000,7692,false
1200000,228568,false
1000000,33333,false
1500000,31914,false
1500000,31914,false
400000,66666,false
300000,3658,false
500000,42552,false
0,0,false
1500000,28846,false
47500,47500,false
10000,10000,false
200000,200000,false
800000,122920,false
300000,35292,false
1000000,40000,false
10000000,10000000,false
130000,19632,false
420000,21000,false
10000000,80160,false
150000,23076,false
800000,40000,false
150000,20257,false
400000,23188,false
800000,123076,false
8000000,80200,false
1000000,12820,false
4000000,5000,false
200000,3571,false
500000,285712,false
50000000,397612,false
700000,7176,false
50000,3844,false
300000,10000,false
1600000,114285,false
40000,7616,false
5000000,138888,false
300000,46152,false
500000,66664,false
100000,19044,false
200000,15384,false
60000,6000,false
500000,76920,false
50000000,7692304,false
2100000,9990,false
1300000,216664,false
0,0,false
0,0,false
100000,2248,false
200000,30768,false
28800,6919,false
2500000,15996,false
1000000,24997,false
250000,37768,false
200000,38092,false
190000,5000,false
380000,64387,false
500000,30768,false
500000,1960,false
300000,12458,false
400000,53332,false
44000000,29333332,false
200000,26664,false
1600000,266664,false
500000,33332,false
980000,35000,false
100000,1968,false
1000000,117644,false
1000000,5025,false
1000000,48780,false
